ID,name,year,gold,silver,bronze
0,A North American Team,1900,0,0,4
1,Afghanistan,2008,0,0,1
2,Afghanistan,2012,0,0,1
3,Algeria,1984,0,0,2
4,Algeria,1992,1,0,1
5,Algeria,1996,2,0,1
6,Algeria,2000,1,1,3
7,Algeria,2008,0,1,1
8,Algeria,2012,1,0,0
9,Algeria,2016,0,2,0
10,Ali-Baba II,1948,0,0,5
11,Amateur Athletic Association,1900,5,0,0
12,Amstel Amsterdam,1908,0,0,4
13,Ancora,1920,4,0,0
14,Angelita,1932,12,0,0
15,Antwerpia V,1920,0,0,5
16,Aphrodite,1964,0,0,3
17,Argentina,1924,5,3,2
18,Argentina,1928,3,18,5
19,Argentina,1932,3,1,0
20,Argentina,1936,5,2,4
21,Argentina,1948,3,2,1
22,Argentina,1952,2,2,2
23,Argentina,1956,0,1,1
24,Argentina,1960,0,0,1
25,Argentina,1964,0,1,0
26,Argentina,1968,0,0,2
27,Argentina,1972,0,1,0
28,Argentina,1988,0,1,12
29,Argentina,1992,0,0,2
30,Argentina,1996,0,19,1
31,Argentina,2000,0,17,3
32,Argentina,2004,28,0,21
33,Argentina,2008,20,0,31
34,Argentina,2012,1,15,3
35,Argentina,2016,21,1,0
36,Argonaut Rowing Club,1908,0,0,6
37,Armenia,1996,1,1,0
38,Armenia,2000,0,0,1
39,Armenia,2008,0,0,6
40,Armenia,2012,0,1,2
41,Armenia,2016,1,3,0
42,Aschenbrodel,1900,4,4,0
43,Atalanta Boat Club-1,1904,2,0,0
44,Atalanta Boat Club-2,1904,0,2,0
45,Atlanta,1920,9,0,0
46,Australasia,1908,15,2,2
47,Australasia,1912,5,2,3
48,Australia,1896,2,0,0
49,Australia,1900,2,0,3
50,Australia,1904,0,3,1
51,Australia,1906,0,0,3
52,Australia,1920,0,6,1
53,Australia,1924,4,5,2
54,Australia,1928,1,2,1
55,Australia,1932,3,1,1
56,Australia,1936,0,0,1
57,Australia,1948,2,9,5
58,Australia,1952,7,2,11
59,Australia,1956,28,11,23
60,Australia,1960,11,24,11
61,Australia,1964,5,6,30
62,Australia,1968,5,35,11
63,Australia,1972,11,7,2
64,Australia,1976,0,15,8
65,Australia,1980,6,2,5
66,Australia,1984,7,14,31
67,Australia,1988,18,6,11
68,Australia,1992,14,27,16
69,Australia,1994,0,0,4
70,Australia,1996,32,16,82
71,Australia,1998,0,0,1
72,Australia,2000,58,69,54
73,Australia,2002,2,0,0
74,Australia,2004,49,77,31
75,Australia,2006,1,0,1
