,country_name,long,lat,Total,Gold,Silver,Bronze
AUS,Australia,134.755,-24.7761086,16,6,3,7
AUT,Austria,13.199959,47.2000338,280,79,98,103
BEL,Belgium,4.6667145,50.6402809,13,2,4,7
BLR,Belarus,27.6971358,53.4250605,15,6,4,5
BUL,Bulgaria,25.4856617,42.6073975,6,1,2,3
CAN,Canada,-107.9917071,61.0666922,611,305,199,107
CHN,China,104.999927,35.000074,80,16,30,34
CRO,Croatia,17.0118954,45.5643442,11,4,6,1
CZE,Czech Republic,15.4749544,49.8167003,231,29,93,109
DEN,Denmark,10.3333283,55.670249,5,0,5,0
ESP,Spain,-4.8380649,39.3262345,2,1,0,1
EST,Estonia,25.3319078,58.7523778,7,4,2,1
EUN,Russia,97.7453061,64.6863136,59,35,10,14
FIN,Finland,25.9209164,63.2467777,426,66,145,215
FRA,France,1.8883335,46.603354,150,36,35,79
GBR,UK,-3.2765753,54.7023545,83,42,10,31
GER,Germany,10.4234469,51.0834196,630,226,208,196
HUN,Hungary,19.5060937,47.1817585,12,0,4,8
IND,India,78.6677428,22.3511148,7,7,0,0
ITA,Italy,12.674297,42.6384261,191,57,57,77
JPN,Japan,139.2394179,36.5748441,63,17,22,24
KAZ,Kazakhstan,65.2093197,47.2286086,7,1,3,3
KOR,South Korea,127.9408564,36.5581914,86,50,26,10
LAT,Latvia,24.7537645,56.8406494,15,0,8,7
LIE,Liechtenstein,9.5531527,47.1416307,9,2,2,5
LUX,Luxembourg,6.1296751,49.8158683,2,0,2,0
MKD,Macedonia,21.7168387,41.6171214,7,0,6,1
NED,Netherlands,5.7480821,52.5001698,122,42,38,42
NEP,Nepal,84.0917139,28.1083929,1,1,0,0
NOR,Norway,11.52803643954819,64.5731537,443,151,165,127
NZL,New Zealand,172.8344077,-41.5000831,1,0,1,0
POL,Poland,19.134422,52.215933,27,6,10,11
PRK,North Korea,127.0870417,40.3736611,2,0,1,1
ROU,Romania,24.6859225,45.9852129,2,0,0,2
RUS,Russia,97.7453061,64.6863136,700,344,186,170
SLO,Slovenia,14.4808369,45.8133113,18,2,4,12
SVK,Slovakia,19.4528646,48.7411522,5,2,2,1
SWE,Sweden,14.5208584,59.6749712,428,125,126,177
UKR,Ukraine,31.2718321,49.4871968,11,5,1,5
USA,USA,-100.4458825,39.7837304,635,166,308,161
UZB,Uzbekistan,63.9528098,41.32373,1,1,0,0
